"Num_Acc","an","mois","jour","hrmn","lum","agg","int","atm","col","com","adr","gps","lat","long","dep","Jour_semaine","temper","humid","precipit","h_neige"
2.01e+11,5,3,18,820,1,2,1,5,1,235,"SANDILLON  (ROUTE DE)","",NA,"",450,"Vendredi",286.2375,76.375,0,0
2.01e+11,5,3,18,1735,1,2,4,1,3,234,"SECRETAIN (AVENUE ROGER)","",NA,"",450,"Vendredi",286.2375,76.375,0,0
2.01e+11,5,3,20,540,5,2,6,1,6,302,"521, BANNIER (FAUBOURG)","",NA,"",450,"Dimanche",287.825,68,0,0
2.01e+11,5,3,24,1655,1,2,2,2,6,234,"41, REIMS (RUE DE)","",NA,"",450,"Jeudi",284.125,90.875,1.375,0
2.01e+11,5,3,25,1050,1,2,4,1,1,234,"STUART (BOULEVARD MARIE)","",NA,"",450,"Vendredi",284.55,80.875,0,0
2.01e+11,5,3,25,1205,1,2,3,1,6,234,"BARENTIN (QUAI)","",NA,"",450,"Vendredi",284.55,80.875,0,0
2.01e+11,5,3,26,1045,1,2,1,8,3,234,"39, QUEBEC (BOULEVARD DE","",NA,"",450,"Samedi",286.2625,83.5,0.775,0
2.01e+11,5,3,27,1205,1,2,1,2,6,234,"2, FRANCE (RUE ANATOLE F","",NA,"",450,"Dimanche",284.05,94.125,1.8,0
2.01e+11,5,3,31,2240,5,2,1,1,6,234,"8, PORTE MADELEINE (RUE","",NA,"",450,"Jeudi",283.2,83.875,0.2,0
2.01e+11,5,4,2,1632,1,2,3,1,1,68,"63, GIDE (RUE ANDRE)","",NA,"",450,"Samedi",286.5875,63.375,0,0
2.01e+11,5,4,8,1824,2,2,1,3,4,338,"Déviation RN60","",NA,"",450,"Vendredi",278.875,87.625,0.025,0
2.01e+11,5,4,16,1345,1,2,1,2,1,68,"MANDELA(AVENUE NELSON)","",NA,"",450,"Samedi",280.75,89.5,0.45,0
2.01e+11,5,4,1,1330,1,2,2,1,3,234,"1, BOURGOGNE (RUE DE)","",NA,"",450,"Vendredi",284.1125,77.125,0,0
2.01e+11,5,4,2,1600,1,2,1,1,6,234,"12, PRESIDENT KENNEDY (A","",NA,"",450,"Samedi",286.5875,63.375,0,0
2.01e+11,5,4,1,1145,1,2,2,1,3,234,"15, RIOBE (BOULEVARD GUY","",NA,"",450,"Vendredi",284.1125,77.125,0,0
2.01e+11,5,4,4,1715,1,2,3,1,3,147,"5, DORMOY (RUE MARX DORM","",NA,"",450,"Lundi",285.725,72.5,0.05,0
2.01e+11,5,4,5,1655,1,2,3,1,3,302,"0, NENUPHARS (ALLEE DES","",NA,"",450,"Mardi",283.9,87.25,1.75,0
2.01e+11,5,4,5,1705,1,2,1,1,6,234,"1, MONTESQUIEU (AVENUE)","",NA,"",450,"Mardi",283.9,87.25,1.75,0
2.01e+11,5,4,7,1655,1,2,1,1,6,234,"75 bis, FAUBOURG BANNIER","",NA,"",450,"Jeudi",282.75,91.5,0.55,0
2.01e+11,5,4,6,1922,1,2,2,2,3,234,"MURLINS (RUE DES MURLINS","",NA,"",450,"Mercredi",284.1875,89.375,0.025,0
2.01e+11,5,4,9,1740,1,2,1,1,6,232,"9, HAUTS (RUE DES HAUTS)","",NA,"",450,"Samedi",277.75,66.75,0.075,0
2.01e+11,5,4,9,240,5,2,4,1,6,234,"MARCEAU (RUE SAINT)","",NA,"",450,"Samedi",277.75,66.75,0.075,0
2.01e+11,5,4,9,1745,1,2,3,1,3,147,"JOIE (RUE DE JOIE)","",NA,"",450,"Samedi",277.75,66.75,0.075,0
2.01e+11,5,4,11,1815,1,2,1,1,6,302,"1326, MONTARAN (RUE DE)","",NA,"",450,"Lundi",283.4625,69.625,0.05,0
2.01e+11,5,4,7,1715,1,2,1,1,3,147,"18 bis, OFFENBACH (RUE J","",NA,"",450,"Jeudi",282.75,91.5,0.55,0
2.01e+11,5,4,7,1320,1,2,4,1,1,169,"09, GARE (RUE DE LA)","",NA,"",450,"Jeudi",282.75,91.5,0.55,0
2.01e+11,5,4,12,1740,1,2,1,1,6,234,"18, PARC (RUE DU)","",NA,"",450,"Mardi",284.65,68.125,0,0
2.01e+11,5,4,12,1355,1,2,1,1,6,234,"13, PLANCHE DE PIERRE (R","",NA,"",450,"Mardi",284.65,68.125,0,0
2.01e+11,5,4,14,1030,1,2,1,1,2,234,"JAURES (BOULEVARD JEAN )","",NA,"",450,"Jeudi",283.025,83.25,0.25,0
2.01e+11,5,4,15,710,1,2,1,2,2,234,"DAUPHINE (AVENUE)","",NA,"",450,"Vendredi",281.6125,82.625,1.375,0
2.01e+11,5,4,9,2040,5,2,1,1,6,234,"CHEMEAU  (RUE DE)","",NA,"",450,"Samedi",277.75,66.75,0.075,0
2.01e+11,5,4,15,1640,1,2,3,1,3,234,"CYPIERRE (QUAI)","",NA,"",450,"Vendredi",281.6125,82.625,1.375,0
2.01e+11,5,4,16,2020,1,2,3,1,1,234,"209, FAUBOURG SAINT VINC","",NA,"",450,"Samedi",280.75,89.5,0.45,0
2.01e+11,5,4,19,1735,1,2,1,1,3,169,"146, NATIONALE (ROUTE )","",NA,"",450,"Mardi",280.15,87.5,0.35,0
2.01e+11,5,4,17,105,5,2,3,1,3,147,"DESSAUX (RUE ANDRE DESSA","",NA,"",450,"Dimanche",281.825,73.125,0,0
2.01e+11,5,4,18,835,1,2,1,2,1,232,"04, BLOIS (ROUTE DE BLOI","",NA,"",450,"Lundi",283.4625,85.75,0.425,0
2.01e+11,5,4,18,1745,1,2,1,1,4,147,"39, DESSAUX (RUE ANDRE D","",NA,"",450,"Lundi",283.4625,85.75,0.425,0
2.01e+11,5,4,18,1955,1,2,1,1,6,169,"QUEUES (RUE DES QUEUES D","",NA,"",450,"Lundi",283.4625,85.75,0.425,0
2.01e+11,5,4,20,800,1,2,1,1,2,302,"PAUL (RUE MARCEL)","",NA,"",450,"Mercredi",282.025,77.125,0.1,0
2.01e+11,5,4,20,1825,1,2,1,1,6,232,"284, BELOT (RUE MARCEL)","",NA,"",450,"Mercredi",282.025,77.125,0.1,0
2.01e+11,5,4,21,800,1,2,1,1,3,169,"110, PASSE DEBOUT  (RUE","",NA,"",450,"Jeudi",282.35,74.375,0,0
2.01e+11,5,4,23,205,5,2,1,2,6,232,"2990, GENERAL DE GAULLE","",NA,"",450,"Samedi",286.7,85.25,0.05,0
2.01e+11,5,4,23,1850,1,2,1,1,2,234,"SECRETAIN (AVENUE ROGER)","",NA,"",450,"Samedi",286.7,85.25,0.05,0
2.01e+11,5,4,24,2030,2,2,1,1,6,234,"RECHERCHE SCIENTIFIQUE (","",NA,"",450,"Dimanche",285.4625,90.75,1.5,0
2.01e+11,5,4,26,1440,1,2,1,1,6,234,"30, SANDILLON  (ROUTE DE","",NA,"",450,"Mardi",285.2125,86.125,0.875,0
2.01e+11,5,4,27,250,3,2,1,1,2,302,"60, ROUTE NATIONALE 20","",NA,"",450,"Mercredi",286.6875,73.75,0,0
2.01e+11,5,4,29,715,1,2,1,1,3,302,"25, SAINT SANTIN (RUE DE","",NA,"",450,"Vendredi",290.825,70.625,0,0
2.01e+11,5,4,29,2225,5,2,1,1,6,302,"104, PEGUY (AVENUE CHARL","",NA,"",450,"Vendredi",290.825,70.625,0,0
2.01e+11,5,4,29,1430,1,2,3,1,3,234,"21, BRIAND (BOULEVARD AR","",NA,"",450,"Vendredi",290.825,70.625,0,0
2.01e+11,5,4,29,15,5,2,1,1,6,234,"PARC FLORAL (AVENUE DU P","",NA,"",450,"Vendredi",290.825,70.625,0,0
2.01e+11,5,4,27,245,4,2,1,8,6,142,"13 rue André Chenal","M",4793200,"213900.0",450,"Mercredi",286.6875,73.75,0,0
2.01e+11,5,4,13,1445,1,1,1,1,1,175,"","M",0,"0.0",450,"Mercredi",283.725,74.25,0,0
2.01e+11,5,4,26,200,3,1,1,8,6,241,"","M",0,"0.0",450,"Mardi",285.2125,86.125,0.875,0
2.01e+11,5,4,2,2045,5,2,1,1,2,67,"","M",4787000,"179000.0",450,"Samedi",286.5875,63.375,0,0
2.01e+11,5,4,1,1300,1,2,9,1,6,155,"rue du 32ème RI","M",4770400,"263300.0",450,"Vendredi",284.1125,77.125,0,0
2.01e+11,5,4,8,1830,1,2,1,2,6,155,"quai Joffre","M",0,"0.0",450,"Vendredi",278.875,87.625,0.025,0
2.01e+11,5,4,11,1900,1,2,9,1,3,155,"Quai Guérin","M",4769000,"262000.0",450,"Lundi",283.4625,69.625,0.05,0
2.01e+11,5,4,16,2000,1,1,1,1,6,108,"","M",0,"0.0",450,"Samedi",280.75,89.5,0.45,0
2.01e+11,5,4,17,400,3,1,1,1,6,254,"","M",0,"0.0",450,"Dimanche",281.825,73.125,0,0
2.01e+11,5,4,19,1315,1,1,1,2,3,53,"","M",0,"0.0",450,"Mardi",280.15,87.5,0.35,0
2.01e+11,5,4,23,1645,1,1,1,1,7,29,"","M",0,"0.0",450,"Samedi",286.7,85.25,0.05,0
2.01e+11,5,4,8,1800,1,1,1,2,3,336,"","M",4770800,"231600.0",450,"Vendredi",278.875,87.625,0.025,0
2.01e+11,5,4,10,515,5,2,1,1,6,83,"AVENUE DU G. DE GAULLE","M",4793700,"292500.0",450,"Dimanche",280.0375,78.125,0,0
2.01e+11,5,4,18,1415,1,2,1,1,3,252,"route de PUISEAUX","M",4818200,"226200.0",450,"Lundi",283.4625,85.75,0.425,0
2.01e+11,5,4,28,2200,5,2,1,1,1,191,"65 rue de boigneville","M",4830700,"240700.0",450,"Jeudi",288.25,74.375,0,0
2.01e+11,5,4,7,2230,3,1,1,8,6,344,"","M",0,"0.0",450,"Jeudi",282.75,91.5,0.55,0
2.01e+11,5,4,21,415,3,1,1,1,6,6,"","M",4781500,"185400.0",450,"Jeudi",282.35,74.375,0,0
2.01e+11,5,5,4,1815,1,1,1,3,7,94,"","M",0,"0.0",450,"Mercredi",285.8875,80.625,0.375,0
