"Num_Acc";"senc";"catv";"occutc";"obs";"obsm";"choc";"manv";"an";"mois";"jour";"hrmn";"Jour_semaine";"lum";"agg";"atm";"adr";"long";"lat";"dep"
200500003632;0;7;0;6;0;2;14;2005;1;22;1330;"Samedi";1;2;2;"76, LAMBALLE (BOULEVARD";"";NA;450
200500003633;0;7;0;0;2;5;16;2005;1;25;740;"Mardi";2;2;1;"GAMBETTA (RUE)";"";NA;450
200500003633;0;1;0;0;2;1;1;2005;1;25;740;"Mardi";2;2;1;"GAMBETTA (RUE)";"";NA;450
200500003634;0;7;0;7;0;9;13;2005;1;27;220;"Jeudi";5;2;1;"21, SAINT MESMIN (ROUTE";"";NA;450
200500003635;0;7;0;0;2;8;10;2005;1;26;2020;"Mercredi";5;2;1;"3342, GENERAL DE GAULLE";"";NA;450
200500003635;0;7;0;0;2;2;13;2005;1;26;2020;"Mercredi";5;2;1;"3342, GENERAL DE GAULLE";"";NA;450
200500003636;0;5;0;0;2;1;1;2005;1;28;1755;"Vendredi";5;2;2;"MARECHAL LECLERC (RUE DU";"";NA;450
200500003636;2;3;0;0;2;2;15;2005;1;28;1755;"Vendredi";5;2;2;"MARECHAL LECLERC (RUE DU";"";NA;450
200500003637;0;7;0;0;2;2;1;2005;1;28;1230;"Vendredi";1;2;2;"MAIRIE (RUE DE LA)";"";NA;450
200500003637;0;7;0;0;2;3;15;2005;1;28;1230;"Vendredi";1;2;2;"MAIRIE (RUE DE LA)";"";NA;450
200500003638;0;7;0;0;2;1;13;2005;1;30;1545;"Dimanche";1;2;1;"41, DESSAUX (RUE ANDRE D";"";NA;450
200500003638;0;7;0;0;2;5;23;2005;1;30;1545;"Dimanche";1;2;1;"41, DESSAUX (RUE ANDRE D";"";NA;450
200500003638;0;7;0;0;0;6;1;2005;1;30;1545;"Dimanche";1;2;1;"41, DESSAUX (RUE ANDRE D";"";NA;450
200500003639;0;7;0;0;2;1;2;2005;1;27;1427;"Jeudi";1;2;1;"DROITS DE L'HOMME (AVENU";"";NA;450
200500003639;0;99;0;0;0;3;24;2005;1;27;1427;"Jeudi";1;2;1;"DROITS DE L'HOMME (AVENU";"";NA;450
200500003640;0;7;0;15;0;2;1;2005;1;31;1353;"Lundi";1;2;1;"SOULAS (AVENUE LOUIS JOS";"";NA;450
200500003641;0;7;0;6;0;1;15;2005;1;28;2255;"Vendredi";5;2;2;"275, ORMES (RUE DES)";"";NA;450
200500007984;0;7;0;2;0;2;21;2005;2;3;645;"Jeudi";2;2;1;"1176, DOCTEUR SCHWEITZER";"";NA;450
200500007985;0;2;0;15;0;1;13;2005;2;4;2255;"Vendredi";5;2;1;"24 bis, BARAUDIERE (RUE";"";NA;450
200500007985;0;7;0;0;2;3;0;2005;2;4;2255;"Vendredi";5;2;1;"24 bis, BARAUDIERE (RUE";"";NA;450
200500007986;0;7;0;1;1;1;1;2005;2;5;905;"Samedi";1;2;1;"82, GENERAL DE GAULLE (A";"";NA;450
