"Num_Acc";"grav0";"grav1";"grav2";"grav3"
"200500081320";"1";"0";"1";"0"
"200500081321";"1";"1";"0";"0"
"200500081322";"0";"3";"0";"0"
"200500081323";"1";"0";"1";"0"
"200500081324";"1";"0";"1";"0"
"200500081325";"0";"1";"0";"0"
"200500081326";"1";"1";"0";"0"
"200500081327";"1";"1";"0";"0"
"200500081328";"0";"0";"1";"0"
"200500081329";"1";"3";"0";"0"
"200500081330";"0";"2";"0";"0"
"200500081331";"1";"0";"1";"0"
"200500081332";"1";"1";"0";"0"
"200500081333";"2";"3";"0";"0"
"200500081334";"1";"0";"2";"0"
"200500081335";"1";"1";"0";"0"
"200500081336";"1";"1";"0";"0"
"200500081337";"1";"0";"1";"0"
"200500081338";"2";"1";"0";"0"
"200500081339";"0";"0";"1";"0"
"200500081340";"0";"0";"3";"0"
"200500081341";"0";"1";"1";"0"
"200600001415";"0";"0";"1";"0"
"200600001416";"1";"2";"0";"0"
"200600001417";"1";"2";"0";"1"
"200600001418";"1";"1";"0";"0"
"200600001419";"1";"1";"0";"0"
"200600001420";"1";"1";"0";"0"
"200600001421";"0";"1";"0";"0"
"200600001422";"0";"1";"0";"0"
"200600001423";"0";"1";"0";"0"
"200600001424";"1";"1";"0";"0"
"200600001425";"1";"1";"0";"0"
"200600001426";"3";"1";"0";"0"
"200600001427";"0";"0";"1";"0"
"200600001428";"1";"1";"0";"0"
"200600001429";"1";"1";"0";"0"
"200600001430";"1";"1";"0";"0"
"200600001431";"1";"1";"0";"0"
"200600001432";"1";"0";"1";"0"
"200600001433";"1";"0";"1";"0"
"200600001434";"2";"1";"0";"0"
"200600001435";"1";"0";"1";"0"
"200600001436";"0";"1";"0";"0"
"200600001437";"1";"1";"0";"0"
"200600001438";"1";"1";"0";"0"
"200600001439";"2";"1";"0";"0"
"200600001440";"0";"1";"0";"0"
"200600001441";"0";"0";"1";"0"
"200600001442";"1";"1";"0";"0"
"200600001443";"2";"1";"0";"0"
"200600005710";"0";"0";"4";"0"
