"Num_Acc";"an";"mois";"jour";"hrmn";"Jour_semaine";"lum";"agg";"atm";"adr";"long";"lat";"dep";"catu";"grav";"sexe";"trajet";"age";"gravit";"heure";"weekend";"grnds_vacs";"fev";"oct";"traj1";"traj2";"traj3";"traj4";"traj5";"catusag";"atmos";"lumi";"cat1";"cat2";"cat3";"cat4";"cat5";"cat6"
200500007990;2005;2;6;1410;"Dimanche";1;1;1;"57, MARTIN (BOULEVARD AL";"";NA;450;2;3;1;9;28;2;14;1;0;1;0;0;0;0;0;0;1;0;3;0;0;1;0;0;0
200500007991;2005;2;6;1140;"Dimanche";1;1;2;"59, BERTHELOT (RUE MARCE";"";NA;450;1;4;0;9;35;1;11;1;0;1;0;0;0;0;0;0;1;1;3;0;1;0;0;0;0
200500007991;2005;2;6;1140;"Dimanche";1;1;2;"59, BERTHELOT (RUE MARCE";"";NA;450;1;4;1;9;56;1;11;1;0;1;0;0;0;0;0;0;1;1;3;0;1;0;0;0;0
200500007992;2005;2;4;1915;"Vendredi";5;1;1;"38, DE GAULLE (RUE DU GE";"";NA;450;1;1;0;4;21;0;19;0;0;1;0;0;0;0;1;0;1;0;1;0;0;1;0;0;0
200500007992;2005;2;4;1915;"Vendredi";5;1;1;"38, DE GAULLE (RUE DU GE";"";NA;450;3;3;1;3;12;2;19;0;0;1;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0
200500007993;2005;2;6;630;"Dimanche";5;1;1;"29, DESSAUX (RUE ANDRE D";"";NA;450;1;4;0;5;33;1;6;1;0;1;0;0;0;0;0;1;1;0;1;0;0;1;0;0;0
200500007994;2005;2;8;1850;"Mardi";3;1;1;"01, SECRETAIN (AVENUE RO";"";NA;450;1;3;0;1;22;2;18;0;0;1;0;1;0;0;0;0;1;0;0;0;1;1;0;0;0
200500007994;2005;2;8;1850;"Mardi";3;1;1;"01, SECRETAIN (AVENUE RO";"";NA;450;1;3;0;1;32;2;18;0;0;1;0;1;0;0;0;0;1;0;0;0;1;1;0;0;0
200500007994;2005;2;8;1850;"Mardi";3;1;1;"01, SECRETAIN (AVENUE RO";"";NA;450;1;1;0;5;55;0;18;0;0;1;0;0;0;0;0;1;1;0;0;0;1;1;0;0;0
200500007994;2005;2;8;1850;"Mardi";3;1;1;"01, SECRETAIN (AVENUE RO";"";NA;450;1;1;1;1;60;0;18;0;0;1;0;1;0;0;0;0;1;0;0;0;1;1;0;0;0
