"Num_Acc";"cat1";"cat2";"cat3";"cat4";"cat5";"cat6"
"200500026614";"0";"0";"2";"0";"0";"0"
"200500026615";"0";"0";"0";"0";"0";"0"
"200500026616";"0";"0";"1";"0";"0";"0"
"200500026617";"0";"0";"1";"0";"0";"1"
"200500026618";"0";"0";"1";"0";"0";"0"
"200500026619";"0";"0";"2";"0";"0";"0"
"200500026620";"0";"0";"2";"0";"0";"0"
"200500026621";"0";"2";"0";"0";"0";"0"
"200500026622";"0";"0";"0";"0";"0";"0"
"200500026623";"0";"0";"1";"0";"0";"0"
"200500026624";"1";"0";"1";"0";"0";"0"
"200500026625";"0";"0";"1";"0";"0";"0"
"200500026626";"0";"0";"1";"0";"0";"0"
"200500026627";"0";"0";"1";"0";"0";"0"
"200500026628";"0";"1";"1";"0";"0";"0"
"200500026629";"1";"0";"0";"0";"0";"0"
"200500026630";"0";"0";"2";"0";"0";"0"
"200500026631";"0";"0";"2";"0";"0";"0"
"200500026632";"0";"0";"2";"0";"0";"0"
"200500026633";"0";"0";"1";"0";"0";"0"
"200500026634";"0";"0";"3";"0";"0";"0"
"200500026635";"0";"0";"1";"1";"0";"0"
"200500026636";"0";"0";"0";"0";"0";"0"
"200500026637";"0";"0";"2";"0";"0";"0"
"200500026638";"0";"0";"1";"0";"0";"0"
"200500026639";"0";"0";"1";"0";"0";"0"
"200500026640";"0";"0";"1";"0";"0";"0"
"200500026641";"0";"1";"0";"0";"0";"0"
"200500026642";"0";"0";"1";"0";"0";"0"
"200500026643";"0";"0";"0";"0";"0";"0"
"200500026826";"0";"0";"1";"0";"0";"0"
"200500027002";"0";"0";"1";"0";"0";"0"
"200500027052";"0";"2";"0";"0";"0";"0"
"200500027053";"0";"0";"1";"0";"0";"0"
"200500027054";"0";"0";"1";"0";"0";"0"
"200500027055";"0";"0";"1";"0";"0";"0"
"200500027056";"0";"0";"1";"0";"0";"0"
"200500027057";"0";"0";"2";"0";"0";"0"
"200500027058";"0";"0";"1";"0";"0";"0"
"200500027059";"0";"0";"1";"0";"0";"0"
"200500028775";"0";"0";"3";"0";"0";"0"
"200500028776";"0";"0";"2";"0";"0";"0"
"200500028777";"0";"0";"1";"0";"0";"0"
"200500028778";"0";"0";"1";"0";"0";"0"
"200500028779";"0";"0";"2";"0";"0";"0"
"200500028780";"1";"0";"0";"0";"0";"0"
"200500028781";"0";"0";"1";"0";"0";"0"
"200500028782";"0";"0";"2";"0";"0";"0"
"200500028783";"1";"0";"0";"0";"0";"0"
"200500028784";"0";"0";"1";"0";"0";"0"
"200500028785";"0";"1";"0";"1";"0";"0"
"200500028786";"0";"0";"1";"0";"0";"0"
"200500028787";"0";"0";"1";"0";"0";"0"
"200500028788";"0";"0";"1";"0";"0";"0"
"200500028789";"1";"0";"1";"0";"0";"0"
"200500028790";"0";"0";"1";"0";"0";"0"
"200500028791";"1";"0";"1";"0";"0";"0"
"200500028792";"0";"0";"1";"0";"0";"0"
"200500028793";"0";"0";"1";"0";"0";"0"
"200500028794";"0";"0";"1";"0";"0";"0"
"200500028795";"0";"0";"1";"0";"0";"0"
"200500028796";"0";"0";"1";"0";"0";"0"
"200500028797";"0";"0";"0";"1";"0";"0"
"200500028798";"0";"0";"1";"0";"0";"0"
"200500028799";"0";"2";"0";"0";"0";"0"
"200500028800";"0";"0";"1";"0";"0";"0"
"200500028801";"0";"0";"1";"0";"0";"0"
"200500028802";"1";"0";"1";"0";"0";"0"
"200500028803";"0";"0";"0";"0";"0";"0"
"200500028804";"0";"0";"2";"0";"0";"0"
"200500033950";"0";"0";"1";"0";"0";"0"
"200500033951";"0";"1";"1";"0";"0";"0"
"200500033952";"1";"0";"1";"0";"0";"0"
"200500033953";"0";"0";"0";"1";"0";"0"
"200500033954";"0";"0";"1";"0";"0";"0"
"200500033955";"0";"0";"2";"0";"0";"0"
"200500033956";"0";"0";"1";"0";"0";"0"
"200500033957";"0";"0";"2";"0";"0";"0"
"200500033958";"1";"0";"1";"0";"0";"0"
"200500033959";"1";"0";"1";"0";"0";"0"
"200500033960";"0";"0";"1";"0";"0";"0"
"200500033961";"0";"0";"1";"0";"0";"0"
"200500033962";"0";"0";"2";"0";"0";"0"
"200500033963";"0";"0";"2";"0";"0";"0"
"200500033964";"0";"0";"1";"0";"0";"0"
"200500033965";"0";"0";"2";"0";"0";"0"
"200500033966";"0";"0";"1";"0";"0";"0"
"200500033967";"0";"0";"3";"0";"0";"0"
"200500033968";"0";"0";"1";"0";"0";"0"
"200500033969";"0";"0";"1";"0";"0";"0"
"200500033970";"0";"0";"1";"0";"0";"0"
"200500033971";"0";"0";"0";"0";"0";"0"
"200500033972";"0";"1";"0";"0";"0";"0"
"200500033973";"0";"0";"2";"0";"0";"0"
"200500033974";"0";"0";"0";"0";"0";"0"
"200500033975";"0";"0";"2";"0";"0";"0"
"200500033976";"0";"1";"1";"0";"0";"0"
"200500033977";"0";"0";"1";"0";"0";"0"
"200500033978";"1";"0";"1";"0";"0";"0"
"200500033979";"0";"1";"1";"0";"0";"0"
"200500033980";"0";"0";"1";"0";"0";"0"
"200500033981";"0";"0";"1";"0";"0";"0"
"200500033982";"0";"0";"1";"0";"0";"0"
"200500033983";"0";"1";"1";"0";"0";"0"
"200500033984";"0";"0";"1";"0";"0";"0"
"200500033985";"0";"0";"1";"0";"0";"0"
"200500033986";"0";"0";"2";"0";"0";"0"
"200500033987";"1";"0";"0";"0";"0";"0"
"200500039793";"0";"0";"2";"0";"0";"0"
"200500039794";"0";"0";"2";"0";"0";"0"
"200500039795";"0";"0";"0";"0";"0";"0"
"200500039796";"0";"0";"1";"0";"0";"0"
"200500039797";"0";"1";"1";"0";"0";"0"
"200500039798";"0";"0";"3";"0";"0";"0"
"200500039799";"0";"0";"1";"0";"0";"0"
"200500039800";"1";"0";"1";"0";"0";"0"
"200500039801";"0";"0";"0";"0";"0";"1"
"200500039802";"0";"0";"2";"0";"0";"0"
"200500039803";"0";"0";"1";"0";"0";"0"
"200500039804";"0";"0";"2";"0";"0";"0"
"200500039805";"1";"0";"1";"0";"0";"0"
"200500039806";"0";"0";"2";"0";"0";"0"
"200500039807";"0";"0";"0";"1";"0";"0"
"200500039808";"0";"0";"1";"0";"0";"0"
"200500039809";"0";"0";"0";"4";"0";"0"
"200500039810";"0";"0";"2";"0";"0";"0"
"200500039811";"0";"0";"1";"0";"0";"0"
"200500039812";"0";"0";"1";"0";"0";"0"
"200500040014";"0";"0";"1";"0";"0";"0"
"200500040015";"0";"0";"2";"0";"0";"0"
"200500040017";"0";"0";"1";"0";"0";"0"
"200500040018";"0";"0";"2";"0";"0";"0"
"200500040188";"0";"0";"1";"0";"0";"0"
"200500040189";"0";"0";"0";"1";"0";"0"
"200500040190";"0";"0";"0";"1";"0";"0"
"200500042800";"1";"0";"1";"0";"0";"0"
"200500042801";"1";"0";"1";"0";"0";"0"
"200500042802";"0";"0";"2";"0";"0";"0"
"200500042803";"0";"1";"1";"0";"0";"0"
"200500042804";"0";"1";"1";"0";"0";"0"
"200500042805";"0";"0";"1";"0";"0";"1"
"200500042806";"0";"0";"2";"0";"0";"0"
"200500042807";"0";"0";"1";"0";"0";"0"
"200500042808";"0";"0";"1";"1";"0";"0"
"200500042809";"0";"1";"1";"0";"0";"0"
"200500042810";"0";"0";"1";"0";"0";"0"
"200500042811";"0";"0";"1";"0";"0";"0"
"200500042812";"0";"0";"0";"0";"0";"0"
"200500042813";"1";"0";"1";"0";"0";"0"
"200500042814";"0";"0";"1";"0";"0";"0"
"200500042815";"0";"0";"1";"0";"0";"0"
"200500042816";"0";"0";"2";"0";"0";"0"
